編號,機關代碼,縣市別代碼,行政區域代碼,鄉鎮市區,交易標的,土地區段位置-建物區段門牌,土地移轉總面積-平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,民國年月,移轉層次,總層數,建物型態,主要用途,主要建材,建築完成年月,屋齡,建物移轉總面積-平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價-元,單價-每平方公尺,車位類別,車位移轉總面積-平方公尺,車位總價-元,備註,地所狀態
1,387000000A,66000,66000000,中區,租賃房屋,臺中市中區雙十路１段１９巷１８號６樓之３,0,,,,11209,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,760220,37,166.71,2,1,2,有,有,12000,72,,0,0,此為住宅及都市更新中心社會住宅包租代管計畫,5(揭露且明細顯示備註)
2,387000000A,66000,66000000,中區,建物,臺中市中區中華路一段１２１號五樓之２７,0,商,,,11201,五層,19,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,850520,27,34.07,1,0,1,有,有,3000,88,,0,0,社宅案件,5(揭露且明細顯示備註)
3,387000000A,66000,66000000,中區,租賃房屋,臺中市中區三民路二段１４５號５樓之３.A室,10.54,商,,,11210,五層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,790614,33,88.43,3,3,3,有,有,8000,90,,0,0,,2(資料揭露)
4,387000000A,66000,66000000,中區,建物,臺中市中區臺灣大道一段５０１號１２樓之１,0,商,,,11202,十二層,12,辦公商業大樓,商業用,鋼筋混凝土造,740829,37,871.96,0,0,0,無,有,79131,91,升降機械,0,0,租金含稅，承租面積不包含屋頂突出物及部分公設,5(揭露且明細顯示備註)
5,387000000A,66000,66000000,中區,租賃房屋,臺中市中區中華路一段１２１號４樓之７,1.95,商,,,11209,四層,19,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,850520,27,38.71,1,0,1,有,有,4000,103,,0,0,社會住宅包租代管公會版。,5(揭露且明細顯示備註)
6,387000000A,66000,66000000,中區,租賃房屋,臺中市中區三民路二段１４５號５樓之３.B室,10.54,商,,,11210,五層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,790614,33,88.43,3,3,3,有,有,9500,107,,0,0,,2(資料揭露)
7,387000000A,66000,66000000,中區,建物,臺中市中區仁愛街８-４號５樓之９,0,商,,,11207,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,670401,45,39.4,1,0,0,無,無,4200,107,,0,0,,2(資料揭露)
8,387000000A,66000,66000000,中區,租賃房屋,臺中市中區光復路合作大樓５-４９號,12.75,商,,,11210,五層,5,公寓(5樓含以下無電梯),住家用,見其他登記事項,560427,56,62.58,2,1,1,有,有,7000,112,,0,0,因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費，費用為承租人另行支付。,5(揭露且明細顯示備註)
9,387000000A,66000,66000000,中區,房地(土地+建物),臺中市中區三民路２段５９號１０樓之６,6.6,商,,,11204,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,740521,38,79.69,2,2,1,有,有,9000,113,,0,0,此為社會住宅包租代管,5(揭露且明細顯示備註)
10,387000000A,66000,66000000,中區,租賃房屋,臺中市中區中華路一段１０９號９樓之１,4.53,商,,,11209,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,701229,42,57.16,1,1,1,有,有,6500,114,,0,0,,2(資料揭露)
11,387000000A,66000,66000000,中區,租賃房屋,臺中市中區中華路一段１２１號７樓之７,1.65,商,,,11209,七層,19,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,850520,27,38.71,1,0,1,有,有,4500,116,,0,0,社會住宅包租代管公會版。續租案件;,5(揭露且明細顯示備註)
12,387000000A,66000,66000000,中區,租賃房屋,臺中市中區台灣大道一段５０１號１０樓之１,386,商,,,11209,十層,12,辦公商業大樓,商業用,鋼筋混凝土造,740829,38,682.02,0,0,0,無,有,80000,117,,0,0,租金總額含稅;租賃期間有約定不同租金;,2(資料揭露)
